id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29730707,Cozy Cellar Retreat in 1900's Bungalow!!!!,132897916,Carly,,Ward 1,44.934126936680165,-123.04440596367729,Entire home/apt,85,2,1,2018-11-12,0.35,2,133
29799727,Private bedroom/bathroom in a gated community!,94877466,Himalaya,,Ward 3,44.91126678692104,-122.95955690167318,Private room,45,1,16,2019-01-22,5.27,1,53
29805406,Salem Home near attractions,224239421,Annette,,Ward 4,44.87896729960996,-123.04124127807037,Entire home/apt,150,4,1,2019-01-27,1,1,173
30106071,Slice of Paradise,13999077,Walter,,Ward 8,44.944072351835,-123.07066198889649,Private room,125,1,0,,,1,362
30155661,Remodeled Room in Relaxing Atmosphere,226565398,Rachel,,Ward 1,44.943331625185785,-123.03393396344174,Private room,38,1,0,,,1,179
30340285,Beautiful Suite Near Downtown and Bush Park,17219224,Caleb And Keely,,Ward 2,44.923307657664424,-123.0416224087031,Entire home/apt,54,1,8,2018-12-31,3.81,1,0
30372738,Large Room and Bathroom with Separate Entrance!,228032976,Spencer And Mariah,,Ward 4,44.868666165684196,-123.01944399288219,Private room,40,1,16,2019-01-28,7.27,2,312
30403843,Large House,228297906,Daniel,,Ward 8,44.939094490981816,-123.09048031062969,Entire home/apt,500,1,1,2018-12-08,0.50,1,0
30442754,"Willamette Valley Bungalow in Salem, Oregon",228558574,Bill & Aimee,,Ward 7,44.91831472095319,-123.04511704899699,Entire home/apt,125,2,3,2019-01-27,2.25,1,322
30448207,Pappy’s Whiskey Den,127231407,Adriana & Andrew,,Ward 7,44.90553948484302,-123.05436758880536,Private room,30,1,14,2019-01-31,9.55,3,167
30689781,"Bright, Spacious Home In Salem Oregon",15827344,Jonathan,,Ward 7,44.882089919804024,-123.06645007937306,Entire home/apt,195,1,1,2019-01-20,1,1,36
30856834,"Sanctuary on High,  Downtown Salem",142557811,Susan,,Ward 2,44.9325656364022,-123.04103994320832,Entire home/apt,225,2,4,2019-01-27,3.24,2,345
31005128,"Near Downtown, Separate Guest House with Gate Code",142557811,Susan,,Ward 2,44.932528084322406,-123.01069196433563,Entire home/apt,125,1,2,2019-02-03,1.82,2,355
31065444,Make this your home!,131854837,Karen,,Ward 8,44.956358176681555,-123.08540999129006,Private room,60,1,0,,,1,148
31209397,Simple Large Room + Private Bathroom! Right by I-5,228032976,Spencer And Mariah,,Ward 4,44.868671411446144,-123.01821996068549,Private room,14,1,5,2019-02-03,5,2,122
31209793,Corporate Accomodation in the Heart of Salem,75198726,Elizabeth & Richard,,Ward 2,44.93170049342509,-123.01671824180936,Entire home/apt,90,7,0,,,1,39
31238348,Room Among the Trees,71029874,Anne,,Ward 7,44.908504483126265,-123.06951554344627,Private room,85,1,0,,,2,234
31516450,Eclectic Botanical Charmer: 4 beds & 2bath,127231407,Adriana & Andrew,,Ward 7,44.90450434649266,-123.05568016456935,Entire home/apt,250,1,0,,,3,81
31671724,South Salem Guesthouse,227134123,Will & Yesenia,,Ward 7,44.90567358000821,-123.05375534685638,Entire home/apt,54,2,1,2019-01-27,1,1,270
31721004,Private room in historic Downtown Salem home,171314658,Kyle,,Ward 1,44.93407434840104,-123.04233913126974,Private room,60,1,0,,,1,179
32018098,Oregon Winemakers Beautiful Colonial in Salem,240057378,Patricia,,Ward 8,44.97105138008858,-123.07856048442238,Entire home/apt,375,2,0,,,1,168
32071956,Salem Suite,7537454,Libby,,Ward 8,44.94601582902079,-123.06957902159539,Private room,100,1,0,,,1,0
